2025-01-29 20:22:26,476 - INFO - Use pytorch device_name: cpu
2025-01-29 20:22:26,477 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-01-29 20:24:13,002 - INFO - Loading text file...
2025-01-29 20:24:13,003 - INFO - Chunking text...
2025-01-29 20:24:13,006 - INFO - Computing embeddings...
2025-01-29 20:24:13,007 - INFO - Starting embedding computation for 69 chunks
2025-01-29 20:24:35,910 - INFO - Initialization complete
2025-01-29 20:32:34,096 - INFO - Use pytorch device_name: cpu
2025-01-29 20:32:34,096 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-01-29 20:32:38,049 - INFO - Loading text file...
2025-01-29 20:32:38,050 - INFO - Chunking text...
2025-01-29 20:32:38,052 - INFO - Computing embeddings...
2025-01-29 20:32:38,052 - INFO - Starting embedding computation for 69 chunks
2025-01-29 20:32:38,629 - INFO - Processed chunk 1/69 (Time: 0.58s, Estimated remaining: 39.26s)
2025-01-29 20:32:39,033 - INFO - Processed chunk 2/69 (Time: 0.40s, Estimated remaining: 32.86s)
2025-01-29 20:32:39,499 - INFO - Processed chunk 3/69 (Time: 0.47s, Estimated remaining: 31.83s)
2025-01-29 20:32:39,826 - INFO - Processed chunk 4/69 (Time: 0.33s, Estimated remaining: 28.82s)
2025-01-29 20:32:40,139 - INFO - Processed chunk 5/69 (Time: 0.31s, Estimated remaining: 26.71s)
2025-01-29 20:32:40,519 - INFO - Processed chunk 6/69 (Time: 0.38s, Estimated remaining: 25.90s)
2025-01-29 20:32:40,848 - INFO - Processed chunk 7/69 (Time: 0.33s, Estimated remaining: 24.76s)
2025-01-29 20:32:41,181 - INFO - Processed chunk 8/69 (Time: 0.33s, Estimated remaining: 23.86s)
2025-01-29 20:32:41,527 - INFO - Processed chunk 9/69 (Time: 0.35s, Estimated remaining: 23.17s)
2025-01-29 20:32:41,847 - INFO - Processed chunk 10/69 (Time: 0.32s, Estimated remaining: 22.39s)
2025-01-29 20:32:42,229 - INFO - Processed chunk 11/69 (Time: 0.38s, Estimated remaining: 22.03s)
2025-01-29 20:32:42,630 - INFO - Processed chunk 12/69 (Time: 0.40s, Estimated remaining: 21.74s)
2025-01-29 20:32:43,007 - INFO - Processed chunk 13/69 (Time: 0.38s, Estimated remaining: 21.34s)
2025-01-29 20:32:43,282 - INFO - Processed chunk 14/69 (Time: 0.27s, Estimated remaining: 20.54s)
2025-01-29 20:32:43,670 - INFO - Processed chunk 15/69 (Time: 0.39s, Estimated remaining: 20.23s)
2025-01-29 20:32:44,194 - INFO - Processed chunk 16/69 (Time: 0.52s, Estimated remaining: 20.35s)
2025-01-29 20:32:44,501 - INFO - Processed chunk 17/69 (Time: 0.31s, Estimated remaining: 19.73s)
2025-01-29 20:32:44,877 - INFO - Processed chunk 18/69 (Time: 0.37s, Estimated remaining: 19.34s)
2025-01-29 20:32:45,175 - INFO - Processed chunk 19/69 (Time: 0.30s, Estimated remaining: 18.74s)
2025-01-29 20:32:45,565 - INFO - Processed chunk 20/69 (Time: 0.39s, Estimated remaining: 18.41s)
